Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Asio\Asio.csproj,File,Asio\Asio.csproj,,,Microsoft.Win32.Registry 5.0.0,,,,,"Microsoft.Win32.Registry, 5.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Asio\Asio.csproj,File,Asio\Asio.csproj,,,System.Data.DataSetExtensions 4.5.0,,,,,"System.Data.DataSetExtensions, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Audio\Audio.csproj,File,Audio\Audio.csproj,,,System.Data.DataSetExtensions 4.5.0,,,,,"System.Data.DataSetExtensions, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Audio\Audio.csproj,File,Audio\Audio.csproj,,,System.Runtime.CompilerServices.Unsafe 5.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 5.0.0  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Audio\Audio.csproj,File,Audio\Audio.csproj,,,System.Runtime.CompilerServices.Unsafe 5.0.0,,,,,"System.Runtime.CompilerServices.Unsafe, 5.0.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe, 6.1.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Benchmarks\Benchmarks.csproj,File,Benchmarks\Benchmarks.csproj,,,,,,,,Current target framework: net6.0-windows Recommended target framework: net10.0--windows
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Circuit\Circuit.csproj,File,Circuit\Circuit.csproj,,,System.Data.DataSetExtensions 4.5.0,,,,,"System.Data.DataSetExtensions, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Circuit\Circuit.csproj,File,Circuit\Circuit.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ComputerAlgebra\ComputerAlgebra\ComputerAlgebra.csproj,File,ComputerAlgebra\ComputerAlgebra\ComputerAlgebra.csproj,,,System.Data.DataSetExtensions 4.5.0,,,,,"System.Data.DataSetExtensions, 4.5.0  Recommendation:  Package functionality included with new framework reference"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ComputerAlgebra\ComputerAlgebra\ComputerAlgebra.csproj,File,ComputerAlgebra\ComputerAlgebra\Utils\Real.cs,156,50,M:System.ValueType.Equals(System.Object),,,,,return obj is Real ? Equals((Real)obj) : base.Equals(obj);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ComputerAlgebra\ComputerAlgebra\ComputerAlgebra.csproj,File,ComputerAlgebra\ComputerAlgebra\Utils\Real.cs,127,43,T:System.Numerics.BigInteger,,,,,return BigRational.Round(x.r);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ComputerAlgebra\ComputerAlgebra\ComputerAlgebra.csproj,File,ComputerAlgebra\ComputerAlgebra\Utils\Real.cs,126,45,T:System.Numerics.BigInteger,,,,,return BigRational.Ceiling(x.r);
